District,Paddy_Area,Paddy_Production,Paddy_Yield,Maize_Area,Maize_Production,maize_Yield,Millet_Area,Millet_Production,Millet_Yield,Buckwheat_Area,Buckwheat_Production,Buckwheat_Yield,Wheat_Area,Wheat_Production,Wheat_Yield,Barley_Area,Barley_Production,Barley_Yield
BAGLUNG,5874,17849,3039,19959,63771,3195,18605,22173,1192,84,121,1440,6991,17038,2437,976,1138,1166
GULMI,9992,25815,2584,23094,50674,2194,2800,2895,1034,212,271,1278,7814,17465,2235,374,628,1679
ARGHAKHANCHI,8050,23345,2900,16500,49350,2991,2900,3080,1062,275,280,1018,7340,12952,1765,354,396,1119
NAWALPARASI,44500,157873,3548,8252,12940,1568,500,516,1032,200,105,525,18745,37490,2000,10,11,
RUPANDEHI,69600,275880,3964,2500,9955,3982,50,55,1100,,,,29400,79380,2700,101,198,
KAPILBASTU,58000,128520,2216,3100,9500,3065,,,,,,,27927,84451,3024,202,330,
KALIKOT,2500,4726,1890,2930,4445,1517,1230,1558,1267,90,139,1544,5475,5856,1070,1042,1946,1868
"MW.MOUNTAIN
RUKUM","7650
3562","13740
10481","1796
2942","8394
16276","12030
32274","1433
1983","11006
918","11226
1601","1020
1744",2014,2371,1177,"14611
11772","18995
25984","1300
2207","7687
910","10990
1037","1430
1140"
ROLPA,4715,11928,2530,11665,26830,2300,1061,1295,1221,115,115,1000,8334,20542,2465,612,632,1032
PYUTHAN,6525,23135,3546,12043,22766,1890,1990,2190,1101,13,15,1154,8411,18543,2204,516,755,1463
SALYAN,6951,25371,3650,19395,39759,2050,1053,1648,1565,61,73,1197,13220,25003,1891,1079,1277,1184
JAJARKOT,3063,5580,1822,9365,15540,1659,1850,1540,832,28,30,1071,12680,14024,1106,708,944,1333
DAILEKH,8307,26529,3194,20150,35292,1751,2423,2450,1011,27,30,1111,19594,35449,1809,202,236,1166
SURKHET,13252,42803,3230,15251,33464,2194,2095,2835,1353,,,,14710,37627,2558,1042,1415,1358
DANG,36508,123870,3393,23150,53043,2291,15,15,1000,20,21,1050,12655,25310,2000,25,28,1119
BANKE,31900,92725,2907,8500,18863,2219,,,,,,,18359,49533,2698,10,9,933
BARDIYA,48500,173500,3577,1500,4837,3225,,,,,,,18716,65033,3475,10,9,933
BAJURA,3310,8606,2600,790,1950,2468,2610,2688,1030,7,11,1571,4950,4607,931,1072,910,849
BAJHANG,7006,21791,3110,3680,5690,1546,2268,2250,992,7,7,1000,10982,13398,1220,3726,3182,854
DARCHULA,4480,10061,2246,3858,6816,1767,1310,1300,992,100,85,850,4465,8595,1925,1200,905,754
ACHHAM,16571,31539,1903,3650,10693,2930,3413,3550,1040,114,103,904,14300,21010,1469,505,564,1117
DOTI,10668,22114,2073,3502,7354,2100,4326,4912,1135,5,5,1000,12335,24670,2000,210,189,900
BAITADI,7000,16470,2353,14500,18945,1307,710,750,1056,,,,20900,16302,780,1000,620,620
DADELDHURA,5225,17419,3334,3745,10112,2700,295,300,1017,,,,8465,16732,1977,192,236,1227
"FW.HILLS
KAILALI","39464
71250","87542
233250","2218
3274","25397
5550","47104
15618","1855
2814","8744
350","9512
350","1088
1000","5
7","5
11","1000
1571","56000
34000","78714
78540","1406
2310","1907
400","1609
300","844
750"
KANCHANPUR,45796,145207,3171,2750,7125,2591,,,,,,,31343,75439,2407,10,9,933
